StudentID,Subject,July,August,September,October,November,December,SubjectAverage,OverallAverage
0001,CBCA201,85,76,88,75,74,82,80,82
0001,CBCA202,89,86,85,85,81,81,85,82
0001,CBCA203,76,73,78,89,78,88,80,82
0001,CBCA204,84,87,81,88,75,80,83,82
0002,CBCA201,12,7,4,9,13,12,10,11
0002,CBCA202,8,18,17,6,16,3,11,11
0002,CBCA203,3,15,19,5,16,20,13,11
0002,CBCA204,8,9,20,15,12,2,11,11
0003,CBCA201,77,82,88,80,80,86,82,81
0003,CBCA202,86,82,82,79,76,83,81,81
0003,CBCA203,89,74,79,79,82,86,82,81
0003,CBCA204,86,73,79,83,81,80,80,81
0004,CBCA201,64,64,72,76,74,76,71,72
0004,CBCA202,80,68,81,75,76,66,74,72
0004,CBCA203,73,75,66,77,71,64,71,72
0004,CBCA204,67,69,64,78,67,75,70,72
0005,CBCA201,64,49,57,53,53,54,55,59
0005,CBCA202,60,66,57,57,65,61,61,59
0005,CBCA203,58,50,64,59,48,63,57,59
0005,CBCA204,60,59,61,66,62,60,61,59
0006,CBCA201,77,86,85,80,76,77,80,83
0006,CBCA202,83,87,93,85,88,89,88,83
0006,CBCA203,85,84,92,82,77,89,85,83
0006,CBCA204,81,86,73,87,78,83,81,83
0007,CBCA201,79,73,68,79,69,76,74,74
0007,CBCA202,70,62,76,72,70,82,72,74
0007,CBCA203,73,76,71,78,68,70,73,74
0007,CBCA204,72,78,77,83,77,72,77,74
0008,CBCA201,96,100,100,90,100,95,97,96
0008,CBCA202,100,90,100,98,100,89,96,96
0008,CBCA203,88,100,95,98,95,94,95,96
0008,CBCA204,93,99,95,94,100,100,97,96
0009,CBCA201,76,74,73,79,84,78,77,75
0009,CBCA202,77,78,69,73,78,74,75,75
0009,CBCA203,81,77,71,64,71,74,73,75
0009,CBCA204,69,77,78,76,69,73,74,75
0010,CBCA201,68,61,54,56,58,59,59,59
0010,CBCA202,66,53,66,50,65,50,58,59
0010,CBCA203,55,57,59,59,55,52,56,59
0010,CBCA204,59,50,57,68,64,67,61,59
0011,CBCA201,60,61,63,65,61,58,61,56
0011,CBCA202,52,46,51,59,53,52,52,56
0011,CBCA203,53,58,59,51,58,61,57,56
0011,CBCA204,55,47,51,49,53,62,53,56
0012,CBCA201,53,56,46,54,50,55,52,52
0012,CBCA202,53,53,52,49,59,61,55,52
0012,CBCA203,44,53,55,61,54,44,52,52
0012,CBCA204,56,52,46,42,56,45,50,52
0013,CBCA201,86,92,85,86,96,87,89,89
0013,CBCA202,90,87,93,97,86,81,89,89
0013,CBCA203,92,89,94,83,85,95,90,89
0013,CBCA204,87,90,81,91,82,94,88,89
0014,CBCA201,56,65,69,68,68,70,66,64
0014,CBCA202,62,69,63,69,61,59,64,64
0014,CBCA203,63,72,55,63,68,60,64,64
0014,CBCA204,57,58,65,71,73,63,65,64
0015,CBCA201,58,74,59,60,67,64,64,64
0015,CBCA202,56,68,70,62,52,69,63,64
0015,CBCA203,72,71,68,70,60,63,67,64
0015,CBCA204,74,55,60,73,52,67,64,64
0016,CBCA201,74,61,64,73,62,71,68,68
0016,CBCA202,64,62,70,67,75,63,67,68
0016,CBCA203,65,64,77,67,68,74,69,68
0016,CBCA204,72,65,66,71,68,75,70,68
0017,CBCA201,51,51,56,53,46,52,52,52
0017,CBCA202,60,53,57,56,59,46,55,52
0017,CBCA203,50,54,51,51,47,57,52,52
0017,CBCA204,46,58,49,55,44,49,50,52
0018,CBCA201,87,96,93,95,91,88,92,93
0018,CBCA202,97,85,95,97,90,100,94,93
0018,CBCA203,91,91,92,89,92,95,92,93
0018,CBCA204,90,96,91,100,93,99,95,93
0019,CBCA201,68,58,60,70,65,68,65,66
0019,CBCA202,62,64,60,60,72,71,65,66
0019,CBCA203,64,66,59,65,69,66,65,66
0019,CBCA204,74,65,63,66,68,71,68,66
0020,CBCA201,63,58,66,56,58,62,61,64
0020,CBCA202,62,66,63,68,67,67,66,64
0020,CBCA203,72,67,63,69,62,63,66,64
0020,CBCA204,58,67,57,54,69,69,62,64
0021,CBCA201,70,65,59,57,62,62,63,63
0021,CBCA202,66,57,69,58,67,64,64,63
0021,CBCA203,69,64,59,54,58,72,63,63
0021,CBCA204,74,63,57,65,67,59,64,63
0022,CBCA201,69,65,63,56,62,60,63,64
0022,CBCA202,58,70,68,66,66,57,64,64
0022,CBCA203,69,68,64,61,64,59,64,64
0022,CBCA204,59,65,65,53,74,65,64,64
0023,CBCA201,43,36,33,43,40,31,38,39
0023,CBCA202,41,35,47,38,28,33,37,39
0023,CBCA203,41,50,33,38,42,41,41,39
0023,CBCA204,39,40,48,34,38,42,40,39
0024,CBCA201,32,29,26,15,17,23,24,25
0024,CBCA202,30,33,18,20,23,23,25,25
0024,CBCA203,22,23,22,16,27,27,23,25
0024,CBCA204,36,29,30,24,26,31,29,25
0025,CBCA201,97,99,98,100,100,100,99,98
0025,CBCA202,100,100,98,96,100,90,97,98
0025,CBCA203,89,97,94,100,94,91,94,98
0025,CBCA204,100,100,99,100,98,100,100,98
0026,CBCA201,82,82,79,75,75,91,81,80
0026,CBCA202,73,76,72,77,80,86,77,80
0026,CBCA203,77,84,77,80,87,79,81,80
0026,CBCA204,86,82,80,71,82,89,82,80
0027,CBCA201,58,53,51,59,48,50,53,51
0027,CBCA202,49,46,53,50,51,53,50,51
0027,CBCA203,55,53,49,48,50,43,50,51
0027,CBCA204,59,45,52,52,52,46,51,51
0028,CBCA201,39,40,41,29,43,28,37,39
0028,CBCA202,36,38,42,37,34,33,37,39
0028,CBCA203,47,35,44,34,33,44,40,39
0028,CBCA204,39,31,45,46,46,48,43,39
0029,CBCA201,34,27,32,36,36,31,33,32
0029,CBCA202,36,28,28,30,37,35,32,32
0029,CBCA203,31,29,32,30,26,32,30,32
0029,CBCA204,31,33,29,29,38,30,32,32
0030,CBCA201,20,18,12,24,31,26,22,24
0030,CBCA202,34,23,17,19,29,26,25,24
0030,CBCA203,31,26,22,28,24,24,26,24
0030,CBCA204,18,21,23,22,31,25,23,24
0031,CBCA201,54,64,58,63,62,58,60,59
0031,CBCA202,58,51,62,53,53,55,55,59
